id,names,sector,party
ul,Ursula von der Leyen,Politik,CDU
lk,Lars Kingbell,Politik,SPD
nr,Nobert Röttgen,Politik,CDU
sw,Sarah Wagenknecht,Politik,Die Linke 
cs,Constanze Stelzenmüller,NA,NA
cl,Christian Lindner,Politik,FDP
ab,Nobert Röttgen,Politik,CDU
al,Annalena Baerbock,Politik,Grüne
ft,Frans Timmermans,Politik,SPD
am,Andrij Melnyk,Politik,NA
al,Alexander Graf Lambsdorff,Politik,FDP
er,Egon Ramms,NA,NA
rh,Robert Habeck,Politik,Grüne
rk,Roderich Kiesewetter,Politik,SPD
ks,Karl Schlögel,Politik,CDU
lm,Ljudmyla Melnyk,NA,NA
kd,Kristina Dunz,NA,NA
el,Egils Levits,NA,NA
cm,Claudia Major,NA,NA
kp,Katja Petrowskaja,NA,NA
